5, 2, 0.1, 0.0, 0.7, 0,011 +- 0,012, 179
5, 2, 0.1, 1.0, 0.7, 0,018 +- 0,02, 239
5, 2, 0.1, 10.0, 0.7, 0,02 +- 0,024, 283
5, 2, 1.0, 0.0, 0.7, 0,006 +- 0,005, 17
5, 2, 1.0, 1.0, 0.7, 0,016 +- 0,022, 31
5, 2, 1.0, 10.0, 0.7, 0,016 +- 0,026, 27
5, 5, 0.1, 0.0, 0.7, 0,009 +- 0,01, 188
5, 5, 0.1, 1.0, 0.7, 0,019 +- 0,022, 274
5, 5, 0.1, 10.0, 0.7, 0,017 +- 0,021, 249
5, 5, 1.0, 0.0, 0.7, 0,012 +- 0,014, 21
5, 5, 1.0, 1.0, 0.7, 0,028 +- 0,027, 34
5, 5, 1.0, 10.0, 0.7, 0,02 +- 0,015, 31
10, 2, 0.1, 0.0, 0.7, 0,095 +- 0,058, 137
10, 2, 0.1, 1.0, 0.7, 0,173 +- 0,156, 194
10, 2, 0.1, 10.0, 0.7, 0,176 +- 0,171, 196
10, 2, 1.0, 0.0, 0.7, 0,099 +- 0,061, 15
10, 2, 1.0, 1.0, 0.7, 0,122 +- 0,086, 19
10, 2, 1.0, 10.0, 0.7, 0,127 +- 0,127, 34
10, 5, 0.1, 0.0, 0.7, 0,089 +- 0,055, 135
10, 5, 0.1, 1.0, 0.7, 0,182 +- 0,157, 214
10, 5, 0.1, 10.0, 0.7, 0,153 +- 0,153, 191
10, 5, 1.0, 0.0, 0.7, 0,097 +- 0,056, 19
10, 5, 1.0, 1.0, 0.7, 0,244 +- 0,221, 27
10, 5, 1.0, 10.0, 0.7, 0,18 +- 0,146, 34
